250.42,421.5,219.83,134.29,189.3,219.39
252.2,424.83,220.25,137.49,191.24,221.3
255.59,430.53,222.78,137.01,192.76,223.75
259.02,438.11,224.89,139.93,195.6,227.05
258.2,439.33,224.41,140.22,196.11,229.05
255.27,435.25,221.93,139.67,194.63,225.06
254.49,436.6,223.36,134.7,191.41,224.92
249.79,437.03,223.92,130.68,188.51,223.29
248.05,437.39,220.17,128.91,188.4,220.52
253.48,454.46,228.97,130.39,195.42,231.15
251.04,451.59,229.33,132,196.66,232.93
248.13,447.27,230.82,134.25,189.82,227.46
247.96,449.56,232.26,137.34,191.96,228.97
246.49,448.99,230.12,139.31,195.4,230.26
247.77,443.33,231.72,135.07,185.17,225.04
246.75,446.02,230,138.81,175.37,226.09
242.84,443.57,238.04,142.44,174.71,227.03
243.04,442.62,234.75,145.06,172.64,220.55
243.01,437.42,233.49,145.14,174.37,218.16
242.65,431.2,229,140.26,171.34,213.44
239.59,430.98,227.39,138.63,171.49,210.71
237.33,423.46,227.41,138.25,168.95,207.89
234.93,422.99,226.92,135.34,169.23,205.74
235.06,427.99,228.83,136.92,169.12,207.86
232.87,418.79,226.13,136.02,167.65,201.45
229.87,417,222.97,141.95,164.76,197.12
228.52,412.87,222.4,146.67,167.63,198.38
229,415.49,214.6,145.89,175.98,202.88
228.28,417.79,210.25,147.01,178.12,204.61
228.02,415.76,208.09,140.15,175.3,201.7
225,415,204.99,141.98,172.49,202.61
228.22,426.89,208.99,146.76,175.58,211.48
225.12,425.2,210.92,146.27,178.88,214.1
224.23,423.03,210.86,148.29,181.62,208.91
224.23,418.01,213.57,145.26,180.35,206.84
226.96,422.54,213.72,147.63,178.35,208.18
227.48,425.43,213.69,148.88,180.75,210.05
222.72,420.18,213.6,145.61,176.51,207.09
223.45,411.46,207.57,139.91,169.74,199.5
222.01,408.46,206.32,136.05,169.24,195.78
222.91,410.37,208.25,135.4,171.29,197.93
225.91,406.35,206.72,132.76,171.11,186.4
230.1,432.53,204.9,139.34,174.46,192.73
233.67,431.95,210.43,141.25,169.68,190.83
233.4,426.59,212.91,140.52,166.72,188.39
231.41,428.15,214.67,141.54,165.27,187.83
